problem,solver,iterations,solve_time_ms,final_cost,eq_violation_inf,ineq_violation_inf,success,kkt_init_violation_inf,kkt_dyn_violation_inf,kkt_eq_violation_inf,kkt_ineq_violation_inf,kkt_dual_violation_inf,kkt_complementarity_inf,kkt_stationarity_inf,kkt_residual_inf,notes
cartpole,aligator-jax,114,16403.756632003933,66.8026196873468,1.161757356982207e-09,4.263256414560601e-14,1,,,,,,,,,
acrobot,aligator-jax,55,4988.905713078566,44.51328640318543,4.235518424877682e-08,0.0,1,,,,,,,,,
quadpendulum,aligator-jax,0,360528.67680601776,nan,nan,nan,0,,,,,,,,,hard-killed after 360s (subprocess timeout)
quadpendulum_theta,aligator-jax,0,0.0,nan,nan,nan,0,,,,,,,,,aligator does not support cross-stage Theta (theta_dim=1)
cartpole,trajax,310,5396.110260975547,66.80262055919584,1.3297550660595903e-07,0.0,1,0.0,8.881784197001252e-16,1.3297550660595903e-07,0.0,0.0,3.674136055283257e-14,5.566547465582654,5.566547465582654,al_iters=8 ilqr_iters_total=310 max_viol=1.33e-07
acrobot,trajax,86,876.3990020379424,44.513285141204534,4.440892098500626e-16,0.0,1,0.0,4.440892098500626e-16,0.0,0.0,,,6.78339330045219,6.78339330045219,ilqr_iters=86 grad_norm=8.61e-07
quadpendulum,trajax,237,12248.292841948569,9.353622958521012,1.7787739725605434e-08,6.153245888929071e-07,1,0.0,8.881784197001252e-16,1.7787739725605434e-08,6.153245888929071e-07,0.0,7.257851936252834e-07,2.522943948613615,2.522943948613615,al_iters=5 ilqr_iters_total=237 max_viol=6.15e-07
quadpendulum_theta,trajax,0,0.0,nan,nan,nan,0,,,,,,,,,trajax does not natively support cross-stage Theta (theta_dim=1)
barrel_roll,trajax,0,2400511.8027200224,nan,nan,nan,0,,,,,,,,,hard-killed after 2400s (subprocess timeout)
backflip,trajax,196,240759.95589699596,41742.102698234725,8.881784197001252e-16,2.0837655576144698e-05,1,0.0,8.881784197001252e-16,0.0,2.0837655576144698e-05,0.0,0.0005658355944757142,3195.7749026631827,3195.7749026631827,al_iters=2 ilqr_iters_total=196 max_viol=2.08e-05
jump,trajax,1027,1043631.9126170129,19636.571612936805,1.6792123247455493e-15,0.0003739504312078502,1,0.0,1.6792123247455493e-15,0.0,0.0003739504312078502,0.0,0.00013983892500053712,3195.7749026631827,3195.7749026631827,two-phase warm start; al_iters=1 ilqr_iters_total=977 max_viol=3.74e-04
trot,trajax,0,2400604.4133569812,nan,nan,nan,0,,,,,,,,,hard-killed after 2400s (subprocess timeout)
