problem,solver,iterations,solve_time_ms,final_cost,eq_violation_inf,ineq_violation_inf,success,kkt_init_violation_inf,kkt_dyn_violation_inf,kkt_eq_violation_inf,kkt_ineq_violation_inf,kkt_dual_violation_inf,kkt_complementarity_inf,kkt_stationarity_inf,kkt_residual_inf,notes
barrel_roll,lipa-gpu,70,3141.7007109848782,22312.57398538091,0.00015205607033230706,9.120876717572872e-07,1,1.7582465648542547e-07,0.00015205607033230706,0.0,9.120876717572872e-07,0.0,0.08935887473815216,4.415575799341887,4.415575799341887,two-phase warm start
backflip,lipa-gpu,476,29499.86826791428,61952.82833468576,8.055022521255562e-05,2.021977294930366e-06,1,8.927820642364926e-10,8.055022521255562e-05,0.0,2.021977294930366e-06,0.0,0.08199293064051506,12701.847466991308,12701.847466991308,
jump,lipa-gpu,223,13334.190803929232,20915.61002100555,2.1981394419002143e-06,0.0007301408649653352,1,1.0923605082920148e-10,2.1981394419002143e-06,0.0,0.0007301408649653352,0.0,0.004945322024282051,1214.236399447244,1214.236399447244,two-phase warm start
trot,lipa-gpu,29,1355.590885039419,30907.86109985147,4.290072279644619e-05,7.999666437501203e-07,1,4.000667124997592e-07,4.290072279644619e-05,0.0,7.999666437501203e-07,0.0,0.7534218481362245,1.9444229049448156,1.9444229049448156,two-phase warm start
